No,Status,Root Cause,Library,star,Issue url,Fixed url,,
19,Fixed,3,fklearn,1.5k,https://github.com/nubank/fklearn/issues/189,https://github.com/nubank/fklearn/pull/190,,
20,Fixed,3,ginza,668,https://github.com/megagonlabs/ginza/issues/243,https://github.com/megagonlabs/ginza/commit/d60d3d4bf4af0c5879357a5f95b36f72ea8eb317,,
21,Fixed,3,fbprophet,16.2k,https://github.com/facebook/prophet/issues/2119,hhttps://github.com/facebook/prophet/pull/2088 2.14的commit,,
22,Pending,3,casbin,15.3k,https://github.com/casbin/pycasbin/issues/246,,,
23,Fixed,3,bitshares,1.2k,https://github.com/bitshares/python-bitshares/issues/307,https://github.com/bitshares/python-bitshares/commit/a72ceee11aedcbe0c800b5c76543f39219324d41,,
24,Fixed,3,adafruit-circuitpython-busdevice,93,https://github.com/adafruit/Adafruit_CircuitPython_BusDevice/issues/81,https://github.com/adafruit/Adafruit_CircuitPython_BusDevice/pull/85,,
25,Fixed,3,horizon,1.3k,https://bugs.launchpad.net/horizon/+bug/1960887,https://review.opendev.org/c/openstack/horizon/+/829629,,
26,Fixed,3,twarc,1.3k,https://github.com/DocNow/twarc/issues/659,https://github.com/DocNow/twarc/issues/660,,
27,Fixed,3,dask-ml,861,https://github.com/dask/dask-ml/issues/942,https://github.com/dask/dask-ml/pull/944,,
28,Fixed,3,pylint-django,559,https://github.com/PyCQA/pylint-django/issues/379,https://github.com/PyCQA/pylint-django/issues/379,,
29,Pending,1,breathe,687,https://github.com/michaeljones/breathe/issues/810,,,
30,Ignored,1,pyserial-asyncio,221,https://github.com/pyserial/pyserial-asyncio/issues/90,,,
31,Unmaintained,2,canvasapi,472,https://github.com/ucfopen/canvasapi/issues/570,,,
32,Ignored,3,django-rq,1.7k,https://github.com/rq/django-rq/issues/553,,,
33,Fixed,3,django-otp,429,https://github.com/django-otp/django-otp/issues/105,https://github.com/django-otp/django-otp/issues/105,reason 3 ,
34,Ignored,3,django-celery-beat,1.4k,https://github.com/celery/django-celery-beat/issues/599,,,
35,Ignored,1,fairseq,27k,https://github.com/pytorch/fairseq/issues/4245,,,
36,Fixed,3,django-allauth,8.1k,https://github.com/pennersr/django-allauth/issues/3034,https://github.com/pennersr/django-allauth/commit/e1f3a11088000a521616aa4c970d3a65fbcd1405,,
37,Ignored,3,djangocms-cascade,162,https://github.com/jrief/djangocms-cascade/issues/411,,,
38,Fixed,3,django-model-utils,2.5k,https://github.com/jazzband/django-model-utils/issues/517,https://github.com/jazzband/django-model-utils/issues/517,,
39,Fixed,3,django-chamber,9,https://github.com/druids/django-chamber/issues/136,https://github.com/druids/django-chamber/issues/136,,
40,Ignored,3,glunocv,5.6k,https://github.com/dmlc/gluon-cv/issues/1741,,,
41,Fixed,3,django-select2,130,https://github.com/codingjoe/django-select2/issues/125,https://github.com/pylint-dev/pylint-django/pull/380,,
42,Ignored,3,dallinger,113,https://github.com/Dallinger/Dallinger/issues/3881,,,
43,Ignored,3,dagster,8k,https://github.com/dagster-io/dagster/issues/6987,,,
44,Unmaintained,3,sklearn-pandas,2.7k,https://github.com/scikit-learn-contrib/sklearn-pandas/issues/251,,,
45,Pending,3,django-stdimage,258,https://github.com/codingjoe/django-stdimage/issues/281,,,
46,Unmaintained,3,gimme-aws-creds,860,https://github.com/Nike-Inc/gimme-aws-creds/issues/350,,,
47,Unmaintained,3,django-watchman,490,https://github.com/mwarkentin/django-watchman/issues/186,,,
48,Ignored,3,flower,5.8k,https://github.com/mher/flower/issues/1187,,,
49,Unmaintained,3,litecli,1.9k,https://github.com/dbcli/litecli/issues/150,,,
50,Unmaintained,3,easyquotation,3.9k,https://github.com/shidenggui/easyquotation/issues/119,,,
51,Unmaintained,3,cloudtracker,845,https://github.com/duo-labs/cloudtracker/issues/81,,,
52,Unmaintained,3,bitrot,181,https://github.com/ambv/bitrot/issues/45,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
