package,version,incompatible python version,root cause,error occurring time,res_2
pyisbn,1.3.1,3.5,2,TPP runing,reason2
sanic-cors,1.0.0,2.7,3,TPP build,"reason2,3"
textdistance,4.2.0,2.7,1,TPP build,reason2
twarc,2.8.0,3.5,3,Dependency-choosing,"reason2,3"
umap-learn,0.5.0,2.7,3,Dependency-choosing,"reason2,3"
vaex-arrow,0.5.1,2.7,3,Dependency-choosing,"reason2,3"
zigpy,0.38.0,2.7,2,TPP build,"reason2,3"
adafruit-circuitpython-ble,8.1.0,2.7,3,Dependency-choosing,reason3
adafruit-circuitpython-ble,8.1.0,3.6,2,TPP runing,reason3
aiohue,2.6.2,3.6,2,TPP runing,reason2
aioimaplib,0.9.0,2.7,1,TPP build,reason2
aioimaplib,0.9.0,3.5,2,TPP runing,reason2
aioprocessing,2.0.0,2.7,2,TPP build,reason2
aldryn-forms,6.2.1,2.7,3,Dependency-choosing,"reason2,3"
tabulate,0.8.7,3.1,2,TPP runing,reason2
pysimplegui,4.51.7,2.7,2,TPP runing,reason2
aiodns,3.0.0,2.7,2,TPP runing,reason2
luigi,3.0.0,2.7,2,TPP runing,reason2
pyotp,2.6.0,2.7,2,TPP runing,reason2
pytelegrambotapi,4.1.0,2.7,2,TPP runing,reason2
pytesseract,0.3.7,2.7,2,TPP runing,reason2
zeroconf,0.36.7,2.7,2,TPP runing,reason2
django-countries,7.2,2.7,2,TPP runing,reason2
netmiko,3.4.0,2.7,2,TPP runing,reason2
portalocker,2.3.0,2.7,2,TPP runing,reason2
pyecharts,1.9.0,3.5,2,TPP runing,reason2
attrdict,2.0.1,3.1,2,TPP runing,reason2
chalice,1.26.1,2.7,2,TPP runing,reason2
comtypes,1.1.7,3.1,2,TPP runing,reason2
django-ajax-selects,2.1.0,2.7,2,TPP runing,reason2
klein,21.8.0,3.5,2,TPP runing,reason2
patsy,0.5.1,3.1,2,TPP runing,reason2
pychromecast,9.3.1,2.7,2,TPP runing,reason2
pygal,2.4.0,3.1,2,TPP runing,reason2
pyvirtualdisplay,2.2,2.7,2,TPP runing,reason2
tensorboardx,2.4,2.7,2,TPP runing,reason2
xblock,1.5.1,2.7,2,TPP runing,reason2
detect-secrets,1.1.0,2.7,2,TPP runing,reason2
dynaconf,3.1.2,2.7,2,TPP runing,reason2
kafka,1.3.5,3.1,2,TPP runing,reason2
python-bugzilla,3.1.0,2.7,2,TPP runing,reason2
scikit-optimize,0.9.0,2.7,2,TPP runing,reason2
aioamqp,0.14.0,2.7,2,TPP runing,reason2
aiocache,0.11.1,2.7,2,TPP runing,reason2
allure-python-commons,2.9.43,2.7,2,TPP runing,reason2
banal,1.0.1,2.7,2,TPP runing,reason2
bqplot,0.12.19,2.7,2,TPP runing,reason2
conllu,4.4,2.7,2,TPP runing,reason2
einops,0.3.0,2.7,2,TPP runing,reason2
everett,2.0.1,2.7,2,TPP runing,reason2
face-alignment,1.3.0,3.5,2,TPP runing,reason2
facebook-wda,1.4.0,2.7,2,TPP runing,reason2
gin-config,0.4.0,2.7,2,TPP runing,reason2
injector,0.18.4,2.7,2,TPP runing,reason2
lenses,1.1.0,3.5,2,TPP runing,reason2
marathon,0.13.0,2.7,2,TPP runing,reason2
normality,2.2.2,2.7,2,TPP runing,reason2
pyfcm,1.5.0,2.7,2,TPP runing,reason2
pypika,0.48.0,2.7,2,TPP runing,reason2
pypugjs,5.9.8,3.1,2,TPP runing,reason2
python-jwt,3.3.0,2.7,2,TPP runing,reason2
schematics,2.1.0,3.1,2,TPP runing,reason2
scrapinghub,2.3.1,3.1,2,TPP runing,reason2
ulid-py,1.1.0,2.7,2,TPP runing,reason2
anyconfig,0.12.0,2.7,2,TPP runing,reason2
beem,0.24.20,3.5,2,TPP runing,reason2
bioservices,1.8.0,2.7,2,TPP runing,reason2
cs50,7.0.2,2.7,2,TPP runing,reason2
edx-opaque-keys,2.2.0,2.7,2,TPP runing,reason2
jsonrpcclient,4.0.0,2.7,2,TPP runing,reason2
knack,0.8.2,2.7,2,TPP runing,reason2
locationsharinglib,4.1.1,2.7,2,TPP runing,reason2
masonite,3.0.11,3.5,2,TPP runing,reason2
nlp,0.4.0,2.7,2,TPP runing,reason2
odo,0.5.0,3.1,2,TPP runing,reason2
pims,0.5,3.1,2,TPP runing,reason2
pulumi,3.16.0,2.7,2,TPP runing,reason2
pyads,3.3.0,2.7,2,TPP runing,reason2
pyicloud,0.10.2,3.1,2,TPP runing,reason2
pyjade,4.0.0,3.1,2,TPP runing,reason2
pypuppetdb,2.5.0,2.7,2,TPP runing,reason2
python3-indy,1.16.0,2.7,2,TPP runing,reason2
subliminal,2.1.0,2.7,2,TPP runing,reason2
tapioca-wrapper,2.0.1,3.1,2,TPP runing,reason2
toolkity,1.9.5,2.7,2,TPP runing,reason2
uiautomation,2.0.8,3.8,2,TPP runing,"reason2,3"
ansible-runner,2.0.2,2.7,2,TPP runing,reason2
antlr4-python3-runtime,4.9,2.7,2,TPP runing,reason2
